lemma	token
A	As
Aachen	Aachens
Aal	Aale
Aal	Aalen
Aal	Aales
Aal	Aals
Aalen	Aalens
Aalende	Aalenden
Aalendere	Aalenderen
Aalendste	Aalendsten
Aalglatte	Aalglatten
Aalglattere	Aalglatteren
Aalglatteste	Aalglattesten
Aalquappe	Aalquappen
Abändern	Abänderns
Abändernde	Abändernden
Abänderndere	Abändernderen
Abänderndste	Abänderndsten
Abänderung	Abänderungen
Abarbeiten	Abarbeitens
Abarbeitende	Abarbeitenden
Abartige	Abartigen
Abartigere	Abartigeren
Abartigste	Abartigsten
Abästen	Abästens
Abästende	Abästenden
Abbalgen	Abbalgens
Abbalgende	Abbalgenden
Abbau	Abbaus
Abbau	Abbauten
Abbaubare	Abbaubaren
Abbaubarere	Abbaubareren
Abbaubarste	Abbaubarsten
Abbauen	Abbauens
Abbauende	Abbauenden
Abbehalten	Abbehaltens
Abbehaltende	Abbehaltenden
Abbehaltene	Abbehaltenen
Abbeißen	Abbeißens
Abbeißende	Abbeißenden
Abbeizen	Abbeizens
Abbeizende	Abbeizenden
Abbekommen	Abbekommens
Abbekommende	Abbekommenden
Abbekommene	Abbekommenen
Abberufen	Abberufens
Abberufende	Abberufenden
Abberufene	Abberufenen
Abbestellen	Abbestellens
Abbestellende	Abbestellenden
Abbestellte	Abbestellten
Abbeten	Abbetens
Abbetende	Abbetenden
Abbetteln	Abbettelns
Abbettelnde	Abbettelnden
Abbezahlen	Abbezahlens
Abbezahlende	Abbezahlenden
Abbezahlte	Abbezahlten
Abbiegen	Abbiegens
Abbiegende	Abbiegenden
Abbieger	Abbiegern
Abbieger	Abbiegers
Abbild	Abbilde
Abbild	Abbilder
Abbild	Abbildern
Abbild	Abbildes
Abbild	Abbilds
Abbilden	Abbildens
Abbildende	Abbildenden
Abbildung	Abbildungen
Abbinden	Abbindens
Abbindende	Abbindenden
Abbindendere	Abbindenderen
Abbindendste	Abbindendsten
Abbitte	Abbitten
Abbitten	Abbittens
Abbittende	Abbittenden
Abblasen	Abblasens
Abblasende	Abblasenden
Abblassen	Abblassens
Abblassende	Abblassenden
Abblättern	Abblätterns
Abblätternde	Abblätternden
Abblätterndere	Abblätternderen
Abblätterndste	Abblätterndsten
Abbleiben	Abbleibens
Abbleibende	Abbleibenden
Abblenden	Abblendens
Abblendende	Abblendenden
Abblendlicht	Abblendlichte
Abblendlicht	Abblendlichter
Abblendlicht	Abblendlichtern
Abblendlicht	Abblendlichtes
Abblendlicht	Abblendlichts
Abblitzen	Abblitzens
Abblitzende	Abblitzenden
Abblitzendere	Abblitzenderen
Abblitzendste	Abblitzendsten
Abblühen	Abblühens
Abblühende	Abblühenden
Abblühendere	Abblühenderen
Abblühendste	Abblühendsten
Abbrausen	Abbrausens
Abbrausende	Abbrausenden
Abbrechen	Abbrechens
Abbrechende	Abbrechenden
Abbremsen	Abbremsens
Abbremsende	Abbremsenden
Abbrennen	Abbrennens
Abbrennende	Abbrennenden
Abbringen	Abbringens
Abbringende	Abbringenden
Abbröckeln	Abbröckelns
Abbröckelnde	Abbröckelnden
Abbröckelndere	Abbröckelnderen
Abbröckelndste	Abbröckelndsten
Abbruch	Abbruche
Abbruch	Abbrüche
Abbruch	Abbrüchen
Abbruch	Abbruches
Abbruch	Abbruchs
Abbruchreife	Abbruchreifen
Abbruchreifere	Abbruchreiferen
Abbruchreifste	Abbruchreifsten
Abbrühen	Abbrühens
Abbrühende	Abbrühenden
Abbrühendere	Abbrühenderen
Abbrühendste	Abbrühendsten
Abbuchen	Abbuchens
Abbuchende	Abbuchenden
Abbürsten	Abbürstens
Abbürstende	Abbürstenden
Abbüßen	Abbüßens
Abbüßende	Abbüßenden
Abchasien	Abchasiens
Abdachen	Abdachens
Abdachende	Abdachenden
Abdämmen	Abdämmens
Abdämmende	Abdämmenden
Abdämmendere	Abdämmenderen
Abdämmendste	Abdämmendsten
Abdampf	Abdampfe
Abdampf	Abdämpfe
Abdampf	Abdämpfen
Abdampf	Abdampfs
Abdampfen	Abdampfens
Abdampfende	Abdampfenden
Abdampfturbine	Abdampfturbinen
Abdanken	Abdankens
Abdankende	Abdankenden
Abdankung	Abdankungen
Abdarben	Abdarbens
Abdarbende	Abdarbenden
Abdecken	Abdeckens
Abdeckende	Abdeckenden
Abdeckmittel	Abdeckmitteln
Abdeckmittel	Abdeckmittels
Abdeckung	Abdeckungen
Abdichten	Abdichtens
Abdichtende	Abdichtenden
Abdienen	Abdienens
Abdienende	Abdienenden
Abdingen	Abdingens
Abdingende	Abdingenden
Abdizieren	Abdizierens
Abdizierende	Abdizierenden
Abdizierte	Abdizierten
Abdrängen	Abdrängens
Abdrängende	Abdrängenden
Abdrehen	Abdrehens
Abdrehende	Abdrehenden
Abdrehendere	Abdrehenderen
Abdrehendste	Abdrehendsten
Abdriften	Abdriftens
Abdriftende	Abdriftenden
Abdriftendere	Abdriftenderen
Abdriftendste	Abdriftendsten
Abdrosseln	Abdrosselns
Abdrosselnde	Abdrosselnden
Abdruck	Abdrucke
Abdruck	Abdrücke
Abdruck	Abdrücken
Abdruck	Abdruckes
Abdruck	Abdrucks
Abdrucken	Abdruckens
Abdrücken	Abdrückens
Abdruckende	Abdruckenden
Abdrückende	Abdrückenden
Abduktor	Abduktore
Abduktor	Abduktoren
Abduktor	Abduktors
Abdunkeln	Abdunkelns
Abdunkelnde	Abdunkelnden
Abdunkelndere	Abdunkelnderen
Abdunkelndste	Abdunkelndsten
Abduschen	Abduschens
Abduschende	Abduschenden
Abduzieren	Abduzierens
Abduzierende	Abduzierenden
Abduzierte	Abduzierten
Abebben	Abebbens
Abebbende	Abebbenden
Abebbendere	Abebbenderen
Abebbendste	Abebbendsten
Abend	Abende
Abend	Abenden
Abendfüllende	Abendfüllenden
Abendländische	Abendländischen
Abendliche	Abendlichen
Abenteuer	Abenteuern
Abenteuer	Abenteuers
Abenteuerliche	Abenteuerlichen
Abenteuerlichere	Abenteuerlicheren
Abenteuerlichste	Abenteuerlichsten
Abenteuerlustige	Abenteuerlustigen
Abenteuerlustigere	Abenteuerlustigeren
Abenteurerin	Abenteurerinnen
Aber	Abern
Aber	Abers
Abergläubische	Abergläubischen
Abergläubischere	Abergläubischeren
Abergläubischste	Abergläubischsten
Aberkannte	Aberkannten
Aberkennen	Aberkennens
Aberkennende	Aberkennenden
Abermalige	Abermaligen
Aberwitzige	Aberwitzigen
Aberwitzigere	Aberwitzigeren
Aberwitzigste	Aberwitzigsten
Abessen	Abessens
Abessende	Abessenden
Abfahren	Abfahrens
Abfahrende	Abfahrenden
Abfahrt	Abfahrten
Abfall	Abfalle
Abfall	Abfälle
Abfall	Abfällen
Abfall	Abfalles
Abfall	Abfalls
Abfallen	Abfallens
Abfallende	Abfallenden
Abfallendere	Abfallenderen
Abfallendste	Abfallendsten
Abfällige	Abfälligen
Abfälschen	Abfälschens
Abfälschende	Abfälschenden
Abfangen	Abfangens
Abfangende	Abfangenden
Abfärben	Abfärbens
Abfärbende	Abfärbenden
Abfärbendere	Abfärbenderen
Abfärbendste	Abfärbendsten
Abfassen	Abfassens
Abfassende	Abfassenden
Abfedern	Abfederns
Abfedernde	Abfedernden
Abfederndere	Abfedernderen
Abfederndste	Abfederndsten
Abfeiern	Abfeierns
Abfeiernde	Abfeiernden
Abfeierndere	Abfeiernderen
Abfeierndste	Abfeierndsten
Abfeilen	Abfeilens
Abfeilende	Abfeilenden
Abfeilendere	Abfeilenderen
Abfeilendste	Abfeilendsten
Abfertigen	Abfertigens
Abfertigende	Abfertigenden
Abfertigung	Abfertigungen
Abfeuern	Abfeuerns
Abfeuernde	Abfeuernden
Abfiebern	Abfieberns
Abfiebernde	Abfiebernden
Abfilmen	Abfilmens
Abfilmende	Abfilmenden
Abfinden	Abfindens
Abfindende	Abfindenden
Abfindung	Abfindungen
Abfischen	Abfischens
Abfischende	Abfischenden
Abfischendere	Abfischenderen
Abfischendste	Abfischendsten
Abflachen	Abflachens
Abflachende	Abflachenden
Abflachendere	Abflachenderen
Abflachendste	Abflachendsten
Abflauen	Abflauens
Abflauende	Abflauenden
Abfliegen	Abfliegens
Abfliegende	Abfliegenden
Abfließen	Abfließens
Abfließende	Abfließenden
Abfluchten	Abfluchtens
Abfluchtende	Abfluchtenden
Abflugschneise	Abflugschneisen
Abfluß	Abflusse
Abfluß	Abflüsse
Abfluß	Abflüssen
Abfluß	Abflusses
Abfordern	Abforderns
Abfordernde	Abfordernden
Abforderndere	Abfordernderen
Abforderndste	Abforderndsten
Abformen	Abformens
Abformende	Abformenden
Abfrage	Abfragen
Abfragen	Abfragens
Abfragende	Abfragenden
Abfressen	Abfressens
Abfressende	Abfressenden
Abfressendere	Abfressenderen
Abfressendste	Abfressendsten
Abfrieren	Abfrierens
Abfrierende	Abfrierenden
Abfrierendere	Abfrierenderen
Abfrierendste	Abfrierendsten
Abfuhr	Abfuhren
Abführen	Abführens
Abführende	Abführenden
Abführung	Abführungen
Abfüllen	Abfüllens
Abfüllende	Abfüllenden
Abfüttern	Abfütterns
Abfütternde	Abfütternden
Abgabe	Abgaben
Abgabenfreie	Abgabenfreien
Abgang	Abgange
Abgang	Abgänge
Abgang	Abgängen
Abgang	Abganges
Abgang	Abgangs
Abgas	Abgase
Abgas	Abgasen
Abgas	Abgases
Abgasarme	Abgasarmen
Abgasärmere	Abgasärmeren
Abgasnorm	Abgasnormen
Abgasturbine	Abgasturbinen
Abgaunern	Abgaunerns
Abgaunernde	Abgaunernden
Abgeänderte	Abgeänderten
Abgeändertere	Abgeänderteren
Abgeänderteste	Abgeändertesten
Abgearbeitete	Abgearbeiteten
Abgeästete	Abgeästeten
Abgebalgte	Abgebalgten
Abgebaute	Abgebauten
Abgebautere	Abgebauteren
Abgebauteste	Abgebautesten
Abgebeizte	Abgebeizten
Abgeben	Abgebens
Abgebende	Abgebenden
Abgebetene	Abgebetenen
Abgebetete	Abgebeteten
Abgebettelte	Abgebettelten
Abgebildete	Abgebildeten
Abgebissene	Abgebissenen
Abgebissenere	Abgebisseneren
Abgebissenste	Abgebissensten
Abgeblasene	Abgeblasenen
Abgeblaßte	Abgeblaßten
Abgeblätterte	Abgeblätterten
Abgeblättertere	Abgeblätterteren
Abgeblätterteste	Abgeblättertesten
Abgeblendete	Abgeblendeten
Abgebliebene	Abgebliebenen
Abgeblitzte	Abgeblitzten
Abgeblitztere	Abgeblitzteren
Abgeblitzteste	Abgeblitztesten
Abgeblühte	Abgeblühten
Abgeblühtere	Abgeblühteren
Abgeblühteste	Abgeblühtesten
Abgebogene	Abgebogenen
Abgebrachte	Abgebrachten
Abgebrannte	Abgebrannten
Abgebranntere	Abgebrannteren
Abgebrannteste	Abgebranntesten
Abgebrauste	Abgebrausten
Abgebremste	Abgebremsten
Abgebrochene	Abgebrochenen
Abgebrochenere	Abgebrocheneren
Abgebrochenste	Abgebrochensten
Abgebröckelte	Abgebröckelten
Abgebröckeltere	Abgebröckelteren
Abgebröckelteste	Abgebröckeltesten
Abgebrühte	Abgebrühten
Abgebrühtere	Abgebrühteren
Abgebrühteste	Abgebrühtesten
Abgebuchte	Abgebuchten
Abgebundene	Abgebundenen
Abgebundenere	Abgebundeneren
Abgebundenste	Abgebundensten
Abgebürstete	Abgebürsteten
Abgebüßte	Abgebüßten
Abgedachte	Abgedachten
Abgedämmte	Abgedämmten
Abgedämmtere	Abgedämmteren
Abgedämmteste	Abgedämmtesten
Abgedampfte	Abgedampften
Abgedankte	Abgedankten
Abgedarbte	Abgedarbten
Abgedeckte	Abgedeckten
Abgedichtete	Abgedichteten
Abgedichtetere	Abgedichteteren
Abgedichteteste	Abgedichtetesten
Abgediente	Abgedienten
Abgedrängte	Abgedrängten
Abgedrehte	Abgedrehten
Abgedrehtere	Abgedrehteren
Abgedrehteste	Abgedrehtesten
Abgedriftete	Abgedrifteten
Abgedriftetere	Abgedrifteteren
Abgedrifteteste	Abgedriftetesten
Abgedroschene	Abgedroschenen
Abgedroschenere	Abgedroscheneren
Abgedroschenste	Abgedroschensten
Abgedrosselte	Abgedrosselten
Abgedruckte	Abgedruckten
Abgedrückte	Abgedrückten
Abgedungene	Abgedungenen
Abgedunkelte	Abgedunkelten
Abgedunkeltere	Abgedunkelteren
Abgedunkelteste	Abgedunkeltesten
Abgeduschte	Abgeduschten
Abgeebbte	Abgeebbten
Abgeebbtere	Abgeebbteren
Abgeebbteste	Abgeebbtesten
Abgefahrene	Abgefahrenen
Abgefahrenere	Abgefahreneren
Abgefahrenste	Abgefahrensten
Abgefallene	Abgefallenen
Abgefallenere	Abgefalleneren
Abgefallenste	Abgefallensten
Abgefälschte	Abgefälschten
Abgefangene	Abgefangenen
Abgefärbte	Abgefärbten
Abgefärbtere	Abgefärbteren
Abgefärbteste	Abgefärbtesten
Abgefaßte	Abgefaßten
Abgefederte	Abgefederten
Abgefedertere	Abgefederteren
Abgefederteste	Abgefedertesten
Abgefeierte	Abgefeierten
Abgefeiertere	Abgefeierteren
Abgefeierteste	Abgefeiertesten
Abgefeilte	Abgefeilten
Abgefeiltere	Abgefeilteren
Abgefeilteste	Abgefeiltesten
Abgefertigte	Abgefertigten
Abgefeuerte	Abgefeuerten
Abgefieberte	Abgefieberten
Abgefilmte	Abgefilmten
Abgefischte	Abgefischten
